tiempo,valor,unidad,codigo_indicador,nombre_indicador,codigo_region,nombre_region,fuente
2024,73.1,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Gabon,Wikipedia
2024,64.3,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Gambia,Wikipedia
2024,38.8,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Georgia (country),Wikipedia
2024,63.7,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Germany,Wikipedia
2024,83.6,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Ghana,Wikipedia
2024,159.0,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Greece,Wikipedia
2024,61.2,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Grenada,Wikipedia
2024,27.6,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Guatemala,Wikipedia
2024,35.1,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Guinea,Wikipedia
2024,76.5,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Guinea-Bissau,Wikipedia
2024,31.2,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Guyana,Wikipedia
2024,14.9,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Haiti,Wikipedia
2024,44.6,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Honduras,Wikipedia
2024,9.0,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Hong Kong SAR,Wikipedia
2024,73.5,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Hungary,Wikipedia
2024,58.7,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Iceland,Wikipedia
2024,82.5,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,India,Wikipedia
2024,39.3,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Indonesia,Wikipedia
2024,25.5,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Iran,Wikipedia
2024,48.2,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Iraq,Wikipedia
2024,41.2,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Ireland,Wikipedia
2024,67.3,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Israel,Wikipedia
2024,136.9,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Italy,Wikipedia
2024,67.5,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Jamaica,Wikipedia
2024,251.2,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Japan,Wikipedia
2024,91.4,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Jordan,Wikipedia
2024,24.2,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Kazakhstan,Wikipedia
2024,73.0,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Kenya,Wikipedia
2024,9.9,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Kiribati,Wikipedia
2024,56.6,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,South Korea,Wikipedia
2024,18.4,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Kosovo,Wikipedia
2024,7.1,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Kuwait,Wikipedia
2024,47.2,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Kyrgyz Republic,Wikipedia
2024,115.5,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Laos,Wikipedia
2024,43.2,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Latvia,Wikipedia
2024,63.2,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Lesotho,Wikipedia
2024,56.5,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Liberia,Wikipedia
2024,36.2,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Lithuania,Wikipedia
2024,28.0,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Luxembourg,Wikipedia
2024,0.0,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Macau,Wikipedia
2024,56.1,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Madagascar,Wikipedia
2024,74.9,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Malawi,Wikipedia
2024,66.4,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Malaysia,Wikipedia
2024,121.1,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Maldives,Wikipedia
2024,55.1,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Mali,Wikipedia
2024,53.6,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Malta,Wikipedia
2024,17.3,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Marshall Islands,Wikipedia
2024,48.5,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Mauritania,Wikipedia
2024,81.0,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Mauritius,Wikipedia
2024,55.6,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Mexico,Wikipedia
2024,10.6,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Micronesia,Wikipedia
2024,37.3,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Moldova,Wikipedia
2024,47.9,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Mongolia,Wikipedia
